Brand,Function,Category,Name,link
Kiehl's,hydrating,facial mask (mask),Kiehl's Instant Renewal Concentrate Mask,https://www.skincarisma.com/products/kiehl-s/instant-renewal-concentrate-mask/ingredient_list#info-section
Clarins,anti-aging,facial mask (mask),Clarins Super Restorative Instant Lift Serum Mask,https://www.skincarisma.com/products/clarins/super-restorative-instant-lift-serum-mask/ingredient_list#info-section
Lancome,anti-aging,facial mask (mask),Lancome Advance Genifique Hydrogel Melting Sheet Mask,https://www.skincarisma.com/products/lancome/advance-genifique-hydrogel-melting-sheet-mask/ingredient_list#info-section
Burt's Bees,hydrating,facial mask (mask),Burt's Bees Hydrating Face Sheet Mask,https://www.skincarisma.com/products/burt-s-bees/hydrating-face-sheet-mask-d5243b89-ace7-45b7-8a9a-212d9c339ce9/ingredient_list#info-section
Shiseido,brightening,facial mask (mask),Shiseido White Lucent Power Brightening Mask,https://www.skincarisma.com/products/shiseido/white-lucent-power-brightening-mask/ingredient_list#info-section
Clinique,brightening,facial mask (cream),Clinique Even Better Brightening Moisture Mask,https://www.skincarisma.com/products/clinique/even-better-brightening-moisture-mask/ingredient_list#info-section
Tatcha,brightening,facial mask (cream),Tatcha Violet-C Radiance Mask,https://www.skincarisma.com/products/tatcha/violet-c-radiance-mask/ingredient_list#info-section
Mario Badescu,brightening,facial mask (cream),Mario Badescu Whitening Mask,https://www.skincarisma.com/products/mario-badescu/whitening-mask/ingredient_list#info-section
GlamGlow,brightening,facial mask (cream),GlamGlow Flashmud Brightening Treatment,https://www.skincarisma.com/products/glamglow/flashmud-brightening-treatment-31e70564-5e15-4010-934e-8e4e2b6c99e1/ingredient_list#info-section
Belif ,brightening,facial mask (cream),Belif Overnight brightening mask,https://www.skincarisma.com/products/belif/overnight-brightening-mask/ingredient_list#info-section
Naruko ,brightening,facial mask (mask),Naruko Raw Job’s Tears Supercritical CO2 Pore Minimizing & Brightening Mask,https://www.skincarisma.com/products/naruko/raw-job-s-tears-supercritical-co2-pore-minimizing-brightening-mask/ingredient_list#info-section
